@relation grams
@attribute 72630000 {0,1}
@attribute 74696f6e {0,1}
@attribute 73726300 {0,1}
@attribute 756e2069 {0,1}
@attribute 6d6f6465 {0,1}
@attribute 6f726d61 {0,1}
@attribute 01000100 {0,1}
@attribute 20000060 {0,1}
@attribute ba0e00b4 {0,1}
@attribute 78740000 {0,1}
@attribute 90000300 {0,1}
@attribute 0000602e {0,1}
@attribute 40000040 {0,1}
@attribute 74657200 {0,1}
@attribute 6e6f7420 {0,1}
@attribute 74657874 {0,1}
@attribute 002e7465 {0,1}
@attribute 6e20444f {0,1}
@attribute 74000000 {0,1}
@attribute 6f64652e {0,1}
@attribute 6d206361 {0,1}
@attribute 6e000000 {0,1}
@attribute 2e727372 {0,1}
@attribute 65787400 {0,1}
@attribute cd215468 {0,1}
@attribute 0000002e {0,1}
@attribute 6e646c65 {0,1}
@attribute 00010001 {0,1}
@attribute 6e6e6f74 {0,1}
@attribute 6f742062 {0,1}
@attribute 6c6f6300 {0,1}
@attribute 6e20696e {0,1}
@attribute 72737263 {0,1}
@attribute 00002e74 {0,1}
@attribute 2e746578 {0,1}
@attribute 4c6f6164 {0,1}
@attribute 00000030 {0,1}
@attribute 00476574 {0,1}
@attribute 322e646c {0,1}
@attribute 41000000 {0,1}
@attribute ffffffff {0,1}
@attribute 00004c01 {0,1}
@attribute 20000000 {0,1}
@attribute 62726172 {0,1}
@attribute 33322e64 {0,1}
@attribute 6c6c0000 {0,1}
@attribute 06000000 {0,1}
@attribute 000000e0 {0,1}
@attribute 47657450 {0,1}
@attribute 64647265 {0,1}
@attribute 10000010 {0,1}
@attribute 72657373 {0,1}
@attribute 4500004c {0,1}
@attribute 73000000 {0,1}
@attribute 72617279 {0,1}
@attribute 2e646c6c {0,1}
@attribute 50726f63 {0,1}
@attribute 646c6c00 {0,1}
@attribute ff000000 {0,1}
@attribute 41646472 {0,1}
@attribute 08000000 {0,1}
@attribute 69627261 {0,1}
@attribute 7450726f {0,1}
@attribute 61644c69 {0,1}
@attribute 644c6962 {0,1}
@attribute 4c696272 {0,1}
@attribute 00000060 {0,1}
@attribute 65737300 {0,1}
@attribute 65745072 {0,1}
@attribute 0000e000 {0,1}
@attribute class {Benign, Malware}
@data
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Benign
