@relation grams
@attribute 53797374 {0,1}
@attribute 6c656765 {0,1}
@attribute 616e646c {0,1}
@attribute 20000060 {0,1}
@attribute 74656d54 {0,1}
@attribute 666f726d {0,1}
@attribute 75657279 {0,1}
@attribute 65707469 {0,1}
@attribute 000c0000 {0,1}
@attribute 65720000 {0,1}
@attribute 66657374 {0,1}
@attribute 74496e66 {0,1}
@attribute 002e7465 {0,1}
@attribute 726d6174 {0,1}
@attribute 7374656d {0,1}
@attribute 65004400 {0,1}
@attribute 696f6e00 {0,1}
@attribute 74655072 {0,1}
@attribute 6576656c {0,1}
@attribute 56657273 {0,1}
@attribute 6368656d {0,1}
@attribute 6d696e61 {0,1}
@attribute 43757272 {0,1}
@attribute 726d696e {0,1}
@attribute 6c746572 {0,1}
@attribute 65637574 {0,1}
@attribute 6f646500 {0,1}
@attribute 6f6e0000 {0,1}
@attribute 45786563 {0,1}
@attribute 78740000 {0,1}
@attribute 45786365 {0,1}
@attribute 40000040 {0,1}
@attribute 4765744d {0,1}
@attribute 54696d65 {0,1}
@attribute 6d616e69 {0,1}
@attribute 65717565 {0,1}
@attribute 2e646174 {0,1}
@attribute 01000904 {0,1}
@attribute 72656e74 {0,1}
@attribute 7272656e {0,1}
@attribute 47657453 {0,1}
@attribute 54687265 {0,1}
@attribute 76696c65 {0,1}
@attribute 6f736f66 {0,1}
@attribute 0085c075 {0,1}
@attribute 0085c074 {0,1}
@attribute 09040000 {0,1}
@attribute 64457863 {0,1}
@attribute 65787400 {0,1}
@attribute 68616e64 {0,1}
@attribute 71756573 {0,1}
@attribute 0000000c {0,1}
@attribute 35000000 {0,1}
@attribute 00002e74 {0,1}
@attribute 51756572 {0,1}
@attribute 00000083 {0,1}
@attribute 00090400 {0,1}
@attribute 69666573 {0,1}
@attribute 62000000 {0,1}
@attribute 00000089 {0,1}
@attribute 79737465 {0,1}
@attribute 726f736f {0,1}
@attribute 47657443 {0,1}
@attribute 65727369 {0,1}
@attribute 0000006a {0,1}
@attribute 0000402e {0,1}
@attribute 65744375 {0,1}
@attribute 696d6500 {0,1}
@attribute 65726d69 {0,1}
@attribute 616e6365 {0,1}
@attribute 6e745072 {0,1}
@attribute 6548616e {0,1}
@attribute 74657874 {0,1}
@attribute 74797065 {0,1}
@attribute 6e617465 {0,1}
@attribute 656e7450 {0,1}
@attribute 50726976 {0,1}
@attribute 75727265 {0,1}
@attribute 75657374 {0,1}
@attribute 74566572 {0,1}
@attribute 65644578 {0,1}
@attribute 6963726f {0,1}
@attribute 7273696f {0,1}
@attribute 78656375 {0,1}
@attribute 696c7465 {0,1}
@attribute 79706500 {0,1}
@attribute 736f6674 {0,1}
@attribute 72697479 {0,1}
@attribute 7074696f {0,1}
@attribute 744d6f64 {0,1}
@attribute 68726561 {0,1}
@attribute 6174696f {0,1}
@attribute 6f64756c {0,1}
@attribute 74757265 {0,1}
@attribute 6976696c {0,1}
@attribute 72656164 {0,1}
@attribute 50000000 {0,1}
@attribute 0000c02e {0,1}
@attribute 61746550 {0,1}
@attribute 6550726f {0,1}
@attribute 6f726d61 {0,1}
@attribute 00010009 {0,1}
@attribute 6d696372 {0,1}
@attribute 696e6974 {0,1}
@attribute 0000602e {0,1}
@attribute 64756c65 {0,1}
@attribute 00005400 {0,1}
@attribute 436f756e {0,1}
@attribute 6e696665 {0,1}
@attribute 696f6e46 {0,1}
@attribute 73696f6e {0,1}
@attribute 6f630000 {0,1}
@attribute 48616e64 {0,1}
@attribute 00004200 {0,1}
@attribute 696c6567 {0,1}
@attribute 4d6f6475 {0,1}
@attribute 696e6174 {0,1}
@attribute 63726f73 {0,1}
@attribute 2e746578 {0,1}
@attribute 63657074 {0,1}
@attribute 78636570 {0,1}
@attribute 42000000 {0,1}
@attribute 74657200 {0,1}
@attribute 72697669 {0,1}
@attribute 6f756e74 {0,1}
@attribute 78697450 {0,1}
@attribute 69627261 {0,1}
@attribute 4c6f6164 {0,1}
@attribute 00476574 {0,1}
@attribute 65000000 {0,1}
@attribute 004b4552 {0,1}
@attribute 0b000000 {0,1}
@attribute 454c3332 {0,1}
@attribute 000000c0 {0,1}
@attribute 72656500 {0,1}
@attribute 07000000 {0,1}
@attribute f0000000 {0,1}
@attribute 78000000 {0,1}
@attribute 00140000 {0,1}
@attribute 0000c000 {0,1}
@attribute 73000000 {0,1}
@attribute 72617279 {0,1}
@attribute c0000000 {0,1}
@attribute 65650000 {0,1}
@attribute 00000500 {0,1}
@attribute 14000000 {0,1}
@attribute 00006000 {0,1}
@attribute 63740000 {0,1}
@attribute 49004e00 {0,1}
@attribute 28000000 {0,1}
@attribute 4c696272 {0,1}
@attribute 46726565 {0,1}
@attribute 72794100 {0,1}
@attribute 1a000000 {0,1}
@attribute 4f000000 {0,1}
@attribute 4e454c33 {0,1}
@attribute 65410000 {0,1}
@attribute 00000005 {0,1}
@attribute 00000006 {0,1}
@attribute 00000007 {0,1}
@attribute 69745072 {0,1}
@attribute 0049004e {0,1}
@attribute 00800e00 {0,1}
@attribute 00004c01 {0,1}
@attribute 70000000 {0,1}
@attribute 79410000 {0,1}
@attribute 00001800 {0,1}
@attribute 4500004c {0,1}
@attribute 64726573 {0,1}
@attribute 00000078 {0,1}
@attribute b8010000 {0,1}
@attribute 000000d0 {0,1}
@attribute 47657450 {0,1}
@attribute 00000070 {0,1}
@attribute 000000e9 {0,1}
@attribute 000000e8 {0,1}
@attribute 10000010 {0,1}
@attribute 00c00000 {0,1}
@attribute 60000000 {0,1}
@attribute 6f000000 {0,1}
@attribute 00ffffff {0,1}
@attribute 72000000 {0,1}
@attribute 65726e65 {0,1}
@attribute 00003000 {0,1}
@attribute 02000004 {0,1}
@attribute 000000f8 {0,1}
@attribute 00060000 {0,1}
@attribute 800e0000 {0,1}
@attribute 644c6962 {0,1}
@attribute 00000088 {0,1}
@attribute 79000000 {0,1}
@attribute 0d000000 {0,1}
@attribute 726f6341 {0,1}
@attribute 00000028 {0,1}
@attribute 41000000 {0,1}
@attribute 00004765 {0,1}
@attribute 0000003c {0,1}
@attribute 00180000 {0,1}
@attribute 62726172 {0,1}
@attribute 45524e45 {0,1}
@attribute 6c000000 {0,1}
@attribute 00000090 {0,1}
@attribute 37000000 {0,1}
@attribute 45786974 {0,1}
@attribute 00000038 {0,1}
@attribute 65637400 {0,1}
@attribute 61727941 {0,1}
@attribute 00002800 {0,1}
@attribute 00600000 {0,1}
@attribute 72657373 {0,1}
@attribute 6f61644c {0,1}
@attribute e0000000 {0,1}
@attribute 63416464 {0,1}
@attribute 61644c69 {0,1}
@attribute 6c6c6f63 {0,1}
@attribute 65745072 {0,1}
@attribute 00000047 {0,1}
@attribute 6f634164 {0,1}
@attribute 00000043 {0,1}
@attribute 00000048 {0,1}
@attribute 00000049 {0,1}
@attribute 64000000 {0,1}
@attribute 4b45524e {0,1}
@attribute 0000005c {0,1}
@attribute 4c33322e {0,1}
@attribute 20000000 {0,1}
@attribute 00280000 {0,1}
@attribute 00e00000 {0,1}
@attribute 09000000 {0,1}
@attribute 00000033 {0,1}
@attribute 80020000 {0,1}
@attribute 000000a8 {0,1}
@attribute 41646472 {0,1}
@attribute 64647265 {0,1}
@attribute 00080000 {0,1}
@attribute 00000055 {0,1}
@attribute 00000053 {0,1}
@attribute 00000052 {0,1}
@attribute ffffff8b {0,1}
@attribute 00000058 {0,1}
@attribute 0000004b {0,1}
@attribute 004e0046 {0,1}
@attribute 44000000 {0,1}
@attribute 0e000000 {0,1}
@attribute 40000010 {0,1}
@attribute 524e454c {0,1}
@attribute 90000000 {0,1}
@attribute 000000b8 {0,1}
@attribute 0000e000 {0,1}
@attribute 00070000 {0,1}
@attribute class {Benign, Malware}
@data
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,Benign
